USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2 103276  9072 ?        Ss   01:34   0:02 /sbin/init auto noprompt
systemd+     687  0.0  0.2  24268  9276 ?        Ss   01:34   0:00 /lib/systemd/systemd-resolved
systemd+     688  0.0  0.0  90228  3544 ?        Ssl  01:34   0:00 /lib/systemd/systemd-timesyncd
root         700  0.0  0.1  58776  6952 ?        Ss   01:34   0:00 /usr/bin/VGAuthService
root         703  0.1  0.1 248084  4664 ?        Ssl  01:34   0:06 /usr/bin/vmtoolsd
root         726  0.0  0.2 250520  8432 ?        Ssl  01:34   0:00 /usr/lib/accountsservice/accounts-daemon
root         727  0.0  0.0   2548   404 ?        Ss   01:34   0:00 /usr/sbin/acpid
avahi        735  0.0  0.0   8532  2912 ?        Ss   01:34   0:00 avahi-daemon: running [ubuntu.local]
root         737  0.0  0.0  18052  2376 ?        Ss   01:34   0:00 /usr/sbin/cron -f
root         738  0.0  0.1  37208  6364 ?        Ss   01:34   0:00 /usr/sbin/cupsd -l
message+     739  0.0  0.1  10024  5228 ?        Ss   01:34   0:02 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         740  0.0  0.3 560428 14596 ?        Ssl  01:34   0:01 /usr/sbin/NetworkManager --no-daemon
root         747  0.0  0.0  81936  3324 ?        Ssl  01:34   0:00 /usr/sbin/irqbalance --foreground
root         749  0.0  0.3  47968 15904 ?        Ss   01:34   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         751  0.0  0.2 253512 11616 ?        Ssl  01:34   0:02 /usr/lib/policykit-1/polkitd --no-debug
syslog       762  0.0  0.0 224356  3948 ?        Ssl  01:34   0:00 /usr/sbin/rsyslogd -n -iNONE
root         766  0.0  0.4 947168 18092 ?        Ssl  01:34   0:03 /usr/lib/snapd/snapd
root         767  0.0  0.1 244352  5808 ?        Ssl  01:34   0:00 /usr/libexec/switcheroo-control
root         768  0.0  0.1  16752  5216 ?        Ss   01:34   0:00 /lib/systemd/systemd-logind
root         773  0.0  0.2 395496 10248 ?        Ssl  01:34   0:00 /usr/lib/udisks2/udisksd
root         774  0.0  0.0  13688  2344 ?        Ss   01:34   0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        787  0.0  0.0   8352   296 ?        S    01:34   0:00 avahi-daemon: chroot helper
lp           807  0.0  0.1  15336  5104 ?        S    01:34   0:00 /usr/lib/cups/notifier/dbus dbus://
root         808  0.0  0.2 178400  9632 ?        Ssl  01:34   0:00 /usr/sbin/cups-browsed
root         815  0.0  0.1 314468  7124 ?        Ssl  01:34   0:00 /usr/sbin/ModemManager
root         836  0.0  0.4 126512 18072 ?        Ssl  01:34   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         842  0.0  0.1 248380  7384 ?        Ssl  01:34   0:00 /usr/sbin/gdm3
whoopsie     893  0.0  0.2 327300 11520 ?        Ssl  01:34   0:00 /usr/bin/whoopsie -f
kernoops     894  0.0  0.0  11264   220 ?        Ss   01:34   0:00 /usr/sbin/kerneloops --test
kernoops     896  0.0  0.0  11264   448 ?        Ss   01:34   0:00 /usr/sbin/kerneloops
rtkit        967  0.0  0.0 152940  2540 ?        SNsl 01:34   0:00 /usr/libexec/rtkit-daemon
root        1099  0.0  0.1 260748  7836 ?        Ssl  01:34   0:00 /usr/lib/upower/upowerd
colord      1292  0.0  0.3 257548 12424 ?        Ssl  01:34   0:00 /usr/libexec/colord
lkq123      1393  0.0  0.1  22364  6248 ?        Ss   01:41   0:00 /lib/systemd/systemd --user
lkq123      1394  0.0  0.0 103196   284 ?        S    01:41   0:00 (sd-pam)
root        2036  0.0  0.4 394572 16092 ?        Ssl  01:41   0:00 /usr/libexec/fwupd/fwupd
root        3096  0.0  0.0      0     0 ?        I    01:48   0:01 [kworker/u256:1-events_unbound]
root        4538  0.0  0.4  48432 16392 ?        S    02:26   0:00 /usr/bin/python3 /usr/lib/language-selector/ls-dbus-backend
root        4827  0.0  0.0      0     0 ?        I    02:28   0:01 [kworker/u256:3-events_power_efficient]
lkq123      4873  0.0  0.1  12540  4520 ?        Ss   02:28   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        5187  0.0  0.1 175828  7828 ?        Sl   02:28   0:00 gdm-session-worker [pam/gdm-password]
lkq123      5196  0.0  0.1 248932  6392 ?        SLl  02:28   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
lkq123      5200  0.0  0.1 172652  5744 tty2     Ssl+ 02:28   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
lkq123      5202  3.1  1.6 376392 65268 tty2     Sl+  02:28   1:21 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
lkq123      5210  0.0  0.3 199304 12644 tty2     Sl+  02:28   0:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
lkq123      5273  0.0  0.1 248332  6548 ?        Ssl  02:28   0:00 /usr/libexec/gvfsd
lkq123      5278  0.0  0.1 382064  6592 ?        Sl   02:28   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
lkq123      5287  0.0  0.1 309780  7248 ?        Ssl  02:28   0:00 /usr/libexec/at-spi-bus-launcher
lkq123      5292  0.0  0.0   7380  3416 ?        S    02:28   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
lkq123      5296  0.0  0.0  98696  3592 ?        Ssl  02:28   0:00 /usr/libexec/gnome-session-ctl --monitor
lkq123      5297  0.3  0.3 1679548 12520 ?       S<sl 02:28   0:09 /usr/bin/pulseaudio --daemonize=no --log-target=journal
lkq123      5304  0.0  0.3 634340 13832 ?        Ssl  02:28   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
lkq123      5320  3.4  3.8 4112148 153160 ?      Ssl  02:28   1:30 /usr/bin/gnome-shell
lkq123      5338  0.1  0.3 327652 13908 ?        Sl   02:28   0:03 ibus-daemon --panel disable --xim
lkq123      5344  0.0  0.1 175188  7216 ?        Sl   02:28   0:00 /usr/libexec/ibus-memconf
lkq123      5345  0.0  0.6 287544 24340 ?        Sl   02:28   0:01 /usr/libexec/ibus-extension-gtk3
lkq123      5349  0.0  0.5 209864 20040 ?        Sl   02:28   0:00 /usr/libexec/ibus-x11 --kill-daemon
lkq123      5351  0.0  0.1 248988  7600 ?        Sl   02:28   0:00 /usr/libexec/ibus-portal
lkq123      5356  0.0  0.1 244228  5308 ?        Ssl  02:28   0:00 /usr/libexec/xdg-permission-store
lkq123      5363  0.0  0.2 581592  7972 ?        Sl   02:28   0:00 /usr/libexec/gnome-shell-calendar-server
lkq123      5371  0.0  0.3 399244 14492 ?        Ssl  02:28   0:00 /usr/libexec/evolution-source-registry
lkq123      5377  0.0  0.1 162836  6616 ?        Sl   02:28   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
lkq123      5383  0.0  0.7 559300 30640 ?        SLl  02:28   0:00 /usr/libexec/goa-daemon
lkq123      5385  0.0  0.1 156232  5060 ?        Sl   02:28   0:00 /usr/libexec/dconf-service
lkq123      5391  0.0  0.3 847424 13928 ?        Ssl  02:28   0:00 /usr/libexec/evolution-calendar-factory
lkq123      5400  0.0  0.1 327284  7928 ?        Sl   02:28   0:00 /usr/libexec/goa-identity-service
lkq123      5404  0.0  0.2 326032  8952 ?        Ssl  02:28   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
lkq123      5416  0.0  0.2 755776 10704 ?        Ssl  02:28   0:00 /usr/libexec/evolution-addressbook-factory
lkq123      5419  0.0  0.1 325356  7000 ?        Ssl  02:28   0:00 /usr/libexec/gvfs-afc-volume-monitor
lkq123      5425  0.0  0.1 246612  6204 ?        Ssl  02:28   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
lkq123      5433  0.0  0.1 244336  5944 ?        Ssl  02:28   0:00 /usr/libexec/gvfs-mtp-volume-monitor
lkq123      5437  0.0  0.1 244508  5588 ?        Ssl  02:28   0:00 /usr/libexec/gvfs-goa-volume-monitor
lkq123      5450  0.0  0.3 2607404 13384 ?       Sl   02:28   0:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
lkq123      5456  0.0  0.2 326176  8664 ?        Sl   02:28   0:00 /usr/libexec/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
lkq123      5467  0.0  0.1 322584  7372 ?        Ssl  02:28   0:00 /usr/libexec/gsd-a11y-settings
lkq123      5468  0.0  0.5 506052 20936 ?        Ssl  02:28   0:00 /usr/libexec/gsd-color
lkq123      5469  0.0  0.3 382964 12556 ?        Ssl  02:28   0:00 /usr/libexec/gsd-datetime
lkq123      5470  0.0  0.2 322820  7972 ?        Ssl  02:28   0:00 /usr/libexec/gsd-housekeeping
lkq123      5473  0.0  0.5 357764 20404 ?        Ssl  02:28   0:00 /usr/libexec/gsd-keyboard
lkq123      5476  0.0  0.5 912944 22416 ?        Ssl  02:28   0:00 /usr/libexec/gsd-media-keys
lkq123      5477  0.0  0.5 358180 21024 ?        Ssl  02:28   0:00 /usr/libexec/gsd-power
lkq123      5481  0.0  0.2 256852  8652 ?        Ssl  02:28   0:00 /usr/libexec/gsd-print-notifications
lkq123      5482  0.0  0.1 465732  5980 ?        Ssl  02:28   0:00 /usr/libexec/gsd-rfkill
lkq123      5487  0.0  0.1 244140  5140 ?        Ssl  02:28   0:00 /usr/libexec/gsd-screensaver-proxy
lkq123      5494  0.0  0.2 477552  9828 ?        Ssl  02:28   0:00 /usr/libexec/gsd-sharing
lkq123      5505  0.0  0.1 326744  6516 ?        Ssl  02:28   0:00 /usr/libexec/gsd-smartcard
lkq123      5506  0.0  0.2 330452  8588 ?        Ssl  02:28   0:00 /usr/libexec/gsd-sound
lkq123      5511  0.0  0.1 396552  7636 ?        Ssl  02:28   0:00 /usr/libexec/gsd-usb-protection
lkq123      5513  0.0  0.5 357352 21552 ?        Ssl  02:28   0:00 /usr/libexec/gsd-wacom
lkq123      5515  0.0  0.2 326940  8108 ?        Ssl  02:28   0:00 /usr/libexec/gsd-wwan
lkq123      5518  0.0  0.5 357776 23512 ?        Ssl  02:28   0:00 /usr/libexec/gsd-xsettings
